Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-12-05 20:00:31,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-05 20:00:31,Assets,Cash-CNY,Cash in CNY,1470000.0,1.0,1470000.0,Cash in CNY
2024-12-05 20:00:31,Assets,CNY=X,Cash in USD,250.0,7.258699893951416,1814.674973487854,Cash in USD
2024-12-05 20:00:31,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-05 20:00:31,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-06 20:00:19,Assets,512290.SS,BIO ETF,296900.0,0.9639999866485596,286211.59603595734,Investments in CN
2024-12-06 20:00:19,Assets,DELL,Dell Technology,3031.0,895.7853029391481,2715125.253208558,Investments in US
2024-12-06 20:00:19,Assets,AMZN,Amazon,179.0,1648.05618896315,295002.05782440386,Investments in US
2024-12-06 20:00:19,Assets,513500.SS,S&P 500 ETF,4500.0,2.227999925613404,10025.999665260317,Investments in US
2024-12-06 20:00:19,Assets,BTC-USD,BTC,3.0,729245.6306570768,2187736.8919712305,Crypto to the Mars
2024-12-06 20:00:19,Assets,DOGE-USD,DOGE,89986.0,3.1816146901410605,286300.77950703347,Crypto to the Mars
2024-12-06 20:00:19,Assets,IBKR,Interactive Brokers,4.0653,1357.1800987098395,5517.34425528511,Investments in US
2024-12-06 20:00:19,Assets,SOXL,SOXL,4.0,214.9449192770844,859.7796771083376,Investments in US
2024-12-06 20:00:19,Assets,VOO,Vanguard S&P 500 ETF,30.0,4056.586250887544,121697.5875266263,Investments in US
2024-12-06 20:00:19,Assets,KYS,Loan to KangYanSong,2740105.0,1.0,2740105.0,Loans Receivables
2024-12-06 20:00:19,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-06 20:00:19,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-06 20:00:19,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-06 20:00:19,Assets,Cash-CNY,Cash in CNY,1474000.0,1.0,1474000.0,Cash in CNY
2024-12-06 20:00:19,Assets,CNY=X,Cash in USD,250.0,7.259200096130371,1814.8000240325928,Cash in USD
2024-12-06 20:00:19,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-06 20:00:19,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-07 20:00:01,Assets,512290.SS,BIO ETF,296900.0,0.9639999866485596,286211.59603595734,Investments in CN
2024-12-07 20:00:01,Assets,DELL,Dell Technology,3031.0,895.7853029391481,2715125.253208558,Investments in US
2024-12-07 20:00:01,Assets,AMZN,Amazon,179.0,1648.05618896315,295002.05782440386,Investments in US
2024-12-07 20:00:01,Assets,513500.SS,S&P 500 ETF,4500.0,2.227999925613404,10025.999665260317,Investments in US
2024-12-07 20:00:01,Assets,BTC-USD,BTC,3.0,726255.5207674801,2178766.5623024404,Crypto to the Mars
2024-12-07 20:00:01,Assets,DOGE-USD,DOGE,89986.0,3.312709560918534,298097.48254881526,Crypto to the Mars
2024-12-07 20:00:01,Assets,IBKR,Interactive Brokers,4.0653,1357.1800987098395,5517.34425528511,Investments in US
2024-12-07 20:00:01,Assets,SOXL,SOXL,4.0,214.9449192770844,859.7796771083376,Investments in US
2024-12-07 20:00:01,Assets,VOO,Vanguard S&P 500 ETF,30.0,4056.586250887544,121697.5875266263,Investments in US
2024-12-07 20:00:01,Assets,KYS,Loan to KangYanSong,2740105.0,1.0,2740105.0,Loans Receivables
2024-12-07 20:00:01,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
